composer,title,date,minutes,key,keyType,sharpsOrFlats,max_p_accidentals,max_partRange,tempo,timeSig,compoundMeter,meterChanges,noteDensity,p_shortestDuration,p_fastNotes,avgNumVoices,nParts,partList,strings,keys,woodwinds,percussion,brass,voice,filename,midiFileName,spotifyID
"Clementi, Muzio","Sonata No. 3 in C Major, Op. 36, Mvmt. 1",None,2.13,C major,major,0,0.09,39,120.0,"[4, 4]",0,0,7.25,0.002466091245376079,0.9630086313193588,1.5,2,"['Piano', 'Piano']",0,1,0,0,0,0,clementi_sonatina-36-3-1.krn,clementi_sonatina-36-3-1.mid,5BdFatSoQfW6ttolc2vMcw
"Dufay, Guillaume",O tres piteulx/Omnes amici,None,2.64,A- major,major,4,0.54,17,110.00000000000001,"[3, 4]",0,1,4.03,0.011799410029498525,0.011799410029498525,2.91,4,"['Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,dufay_omnes_amici.krn,dufay_omnes_amici.mid,7iQdTFJtemOPPiokQXyh2L
"Dunstable, John","Hymn ""Veni Creator"" for Whitsunday",None,4.5,G major,major,1,0.26,16,120.0,"[3, 2]",0,1,3.87,0.02464788732394366,0.25704225352112675,2.63,4,"['Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,dunstable_veni.krn,dunstable_veni.mid,30UZB3neHQYL9nzCTBX33b
"Faure, Gabriel","Après un Rêve, Op. 7, No. 1",None,2.18,c minor,minor,3,0.45,27,66.0,"[3, 4]",0,0,3.96,0.014634146341463415,0.014634146341463415,1.18,3,"['Voice', 'Piano', 'Piano']",0,1,0,0,0,1,faure_apres.krn,faure_apres.mid,4PFahcJg4FDaRRxzKR3fYD
"Flecha, Matheo",La bomba,None,10.15,G major,major,1,0.27,19,120.0,"[4, 4]",0,1,6.07,0.07044854881266491,0.43746701846965697,3.1,4,"['Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,flecha_bomba.krn,flecha_bomba.mid,3xDjFDrTbpR5XqgX2L82fs
"Frescobaldi, Girolamo",No. 14: Canzon Terza à 2. Canto e Basso,None,3.32,C major,major,0,0.1,22,120.0,"[4, 4]",0,1,3.88,0.002564102564102564,0.2653846153846154,2.69,3,"['Violin', 'Violoncello', 'Violoncello']",1,0,0,0,0,0,frescobaldi_canzoni14.krn,frescobaldi_canzoni14.mid,
"Gabrieli, Giovanni",O magnum mysterium,None,2.08,g minor,minor,2,0.21,17,132.0,"[4, 4]",0,1,8.67,0.008710801393728223,0.16114982578397213,5.18,8,"['Voice', 'Voice', 'Voice', 'Voice', 'Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,gabrieli_mysterium_edited.krn,gabrieli_mysterium_edited.mid,2bAhKEE4IGbnMQ7CjejvAa
"Gabrieli, Andrea",Ne confide,None,2.23,a minor,minor,0,0.13,16,120.0,"[4, 4]",0,0,6.61,0.09229098805646037,0.09229098805646037,5.29,7,"['Voice', 'Voice', 'Voice', 'Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,gabrielia_coppini23.krn,gabrielia_coppini23.mid,
"Gibbons, Orlando",The Silver Swanne,None,0.53,F major,major,1,0.22,17,160.0,"[4, 4]",0,0,11.05,0.2752808988764045,0.2752808988764045,4.49,5,"['Voice', 'Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,gibbons_silverswan.krn,gibbons_silverswan.mid,1dyHU9CgeTWIvb2serBHzE
"Giovannelli, Ruggero",Suauissime Iesu,None,1.97,g minor,minor,2,0.29,16,120.0,"[4, 4]",0,0,6.37,0.16897856242118536,0.16897856242118536,4.25,5,"['Voice', 'Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,giovannelli_coppini15.krn,giovannelli_coppini15.mid,
"Grieg, Edvard",In der Halle des Bergkönigs,None,2.55,b minor,minor,2,0.61,52,138.0,"[4, 4]",0,0,7.58,0.0457516339869281,0.7603485838779956,1.56,2,"[None, 'Piano']",0,1,0,0,0,0,grieg_op46-4_edited.krn,grieg_op46-4_edited.mid,5Himheq9mKj4xIzHX98QG8
"Handel, George Frideric",Largo from Xerxes (Arranged),None,2.6,G major,major,1,0.19,23,60.0,"[3, 4]",0,0,2.62,0.046012269938650305,0.046012269938650305,1.52,2,"['Piano', 'Piano']",0,1,0,0,0,0,handel_largo.krn,handel_largo.mid,2PWqGi2e6aRgUFEVjXwhAz
"Haydn, Franz Joseph",Sonata No. 33 in C minor,None,3.45,c minor,minor,3,0.47,59,132.0,"[3, 4]",0,0,7.68,0.00408997955010225,0.8438991138377642,1.51,2,"['Piano', 'Piano']",0,1,0,0,0,0,haydn_sonata33-3_edited.krn,haydn_sonata33-3_edited.mid,0lH8Lk4RK9kCNbePfuAWtW
"Haydn, Johann Michael",Menuet 1,None,0.98,A major,major,3,0.37,34,110.00000000000001,"[3, 4]",0,0,11.24,0.04078549848942598,0.05740181268882175,3.99,5,"['Oboe', 'Trumpet', 'Violin', 'Violin', 'Contrabass']",1,0,1,0,1,0,haydnm_menuet1_edited.krn,haydnm_menuet1_edited.mid,4DVFhjvbTQM6eEgbBtbOxr
"Hofmann, Heinrich",Rogue,None,0.52,F major,major,1,0.24,32,130.0,"[2, 4]",0,0,7.31,0.014563106796116505,0.9757281553398058,1.42,2,"['Piano', 'Piano']",0,1,0,0,0,0,hofmann_schelm_edited.krn,hofmann_schelm_edited.mid,
"Hummel, Johann Nepomuk","Prelude in E-flat Minor, Op. 67, No. 14",None,0.23,e- minor,minor,6,1.0,25,120.0,"[2, 2]",0,0,3.36,0.1,0.1,0.83,2,"['Piano', 'Piano']",0,1,0,0,0,0,hummel_prelude67-14.krn,hummel_prelude67-14.mid,
"Isaac, Henrich","Innsbruck, ich muß dich lassen",None,0.77,F major,major,1,0.2,16,120.0,"[2, 2]",0,0,5.52,0.1328125,0.1328125,3.84,4,"['Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,isaac_innsbruck.krn,isaac_innsbruck.mid,7cgi6lRggiLAAzsuJOBBeW
"Ives, Charles",Spring Song,None,0.71,F major,major,1,0.23,35,92.0,"[3, 4]",0,1,5.85,0.11764705882352941,0.11764705882352941,1.59,3,"['Voice', 'Piano', 'Piano']",0,1,0,0,0,1,ives_065-spring-song.krn,ives_065-spring-song.mid,0HygjPixQGHodkfLPZoJUu
Josquin Desprez,The Cricket,None,0.68,C major,major,0,0.08,14,220.00000000000003,"[2, 2]",0,1,9.8,0.19607843137254902,0.19607843137254902,3.53,4,"['Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,josquin_grillo.krn,josquin_grillo.mid,7dZM6fr2RTl2n19c5zn806
"Landini, Francesco",Ecco la primavera,None,0.68,d minor,minor,1,0.02,12,80.0,"[3, 4]",0,0,2.77,0.05454545454545454,0.05454545454545454,2.0,2,"['Voice', 'Voice']",0,0,0,0,0,1,landini_echo.krn,landini_echo.mid,5gOntuulJNWZmxKKGpdex2
"Lassus, Orlande de",Matona mia cara,None,3.0,F major,major,1,0.21,17,156.0,"[2, 2]",0,0,7.08,0.12703330751355538,0.12703330751355538,3.77,4,"['Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,lassus_matona_edited.krn,lassus_matona_edited.mid,1j8loJoVLZ8oqx9fuMpIQx
"Liszt, Franz","Ballade No. 2 in B Minor, S. 171",None,8.91,b minor,minor,2,0.71,75,144.0,"[6, 4]",1,1,6.15,0.007871064467766116,0.8384557721139431,1.2,2,"['Piano', 'Piano']",0,1,0,0,0,0,liszt_ballade2_edited.krn,liszt_ballade2_edited.mid,4DdF8wXqThIAGAqy14uYFd
"MacDowell, Edward",Dance of Fantasy,None,4.03,c# minor,minor,4,0.61,56,152.0,"[2, 4]",0,1,10.6,0.09742554265522463,0.8859162039374053,1.28,2,"['Piano', 'Piano']",0,1,0,0,0,0,macdowell_op14-5.krn,macdowell_op14-5.mid,4vHqUvAvYv7J1oqkrSdb2N
"Machaut, Guillaume de","With goodness, worth...",None,0.8,g minor,minor,2,0.25,14,120.0,"[6, 8]",1,0,2.79,0.34782608695652173,0.34782608695652173,1.86,2,"['Voice', 'Voice']",0,0,0,0,0,1,machaut_de_bonte_edited.krn,machaut_de_bonte_edited.mid,66YdFlycdbkBFKd264Ct3q
"Marenzio, Luca",Ergo ne vis abire,None,2.1,d minor,minor,1,0.19,17,120.0,"[4, 4]",0,0,3.64,0.05916030534351145,0.05916030534351145,3.4,5,"['Voice', 'Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,marenzio_coppini14.krn,marenzio_coppini14.mid,
"Mendelssohn, Felix",Sonata in B-flat minor for piano in one movement,None,5.88,b- minor,minor,5,0.64,44,40.0,"[4, 4]",0,1,4.43,0.0007830853563038371,0.7447141738449491,1.14,2,"['Piano', 'Piano']",0,1,0,0,0,0,mendelssohn_sonata1823_edited.krn,mendelssohn_sonata1823_edited.mid,1BfSgfJ6tMvPJaJOwScQfR
"Monteverdi, Claudio",Laudate Dominum omnes gentes,None,5.42,G major,major,1,0.29,23,80.0,"[4, 4]",0,1,6.91,0.13193768257059396,0.13193768257059396,4.74,11,"['Voice', 'Voice', 'Voice', 'Voice', 'Voice', 'Voice', 'Violin', 'Violin', 'Viola', 'Harpsichord', 'Harpsichord']",1,1,0,0,0,1,monteverdi_laudate.krn,monteverdi_laudate.mid,5KrslNIRC9RvUKu6iShUOV
"Morley, Thomas",April is in My Mistress' Face,None,1.27,g minor,minor,2,0.29,15,120.0,"[2, 2]",0,0,4.47,0.1638418079096045,0.1638418079096045,3.16,4,"['Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,morley_april.krn,morley_april.mid,3idku07bpkQnxRV8Hwjkd8
"Mozart, Wolfgang Amadeus",Sonatina in C-major,None,1.0,C major,major,0,0.15,26,64.0,"[4, 4]",0,0,1.96,0.03076923076923077,0.03076923076923077,1.08,2,"['Piano', 'Piano']",0,1,0,0,0,0,mozart_viennese6-3.krn,mozart_viennese6-3.mid,3tyexD3uaQjoRjv45fS8sn
"Mussorgsky, Modest",Promenade,None,1.16,B- major,major,2,0.33,33,120.0,"[5, 4]",0,1,4.56,0.4782608695652174,0.4782608695652174,0.45,2,"['Piano', 'Piano']",0,1,0,0,0,0,mussorgsky_promenade_edited.krn,mussorgsky_promenade_edited.mid,1WcB5prkfOAUiax4yP2SQK
"Nanino, Giovanni Maria",Artifex mirus,None,2.17,d minor,minor,1,0.16,17,120.0,"[4, 4]",0,0,5.23,0.0028328611898017,0.09773371104815864,3.85,5,"['Voice', 'Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,nanino_coppini19.krn,nanino_coppini19.mid,1fqL5grXZiuInYM1IZnCf0
"Obrecht, Jacob",Parce Domine,None,1.36,a minor,minor,0,0.06,19,132.0,"[4, 4]",0,0,4.38,0.21025641025641026,0.21025641025641026,3.07,4,"['Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,obrecht_parce_domine.krn,obrecht_parce_domine.mid,
"Pachelbel, Johann",Canon in D Major,None,3.8,D major,major,2,0.29,31,60.0,"[4, 4]",0,0,9.93,0.18722139673105498,0.629024269440317,4.02,5,"['Violin', 'Violin', 'Violin', 'Harpsichord', 'Harpsichord']",1,1,0,0,0,0,pachelbel_canon.krn,pachelbel_canon.mid,
Petrus de Cruce,Motet: Aucun - Lonc tans - Aunnuntiantes,None,2.36,C major,major,0,0.04,14,80.0,"[3, 4]",0,0,3.15,0.014893617021276596,0.3680851063829787,2.61,3,"['Voice', 'Voice', 'Voice']",0,0,0,0,0,1,petrus_annun.krn,petrus_annun.mid,1421vTKjauE0oN14BdI3sF
"Prokofiev, Sergey",Visions fugitives,None,1.2,C major,major,0,0.47,38,80.0,"[4, 4]",0,0,2.9,0.03783783783783784,0.35135135135135137,1.81,3,"['Piano', 'Piano', 'Piano']",0,1,0,0,0,0,prokofiev_visions22-2_edited.krn,prokofiev_visions22-2_edited.mid,2snH75Le0mjugG4oIQBqoh
"Ravel, Maurice",Sonatine pour le piano,None,2.94,A major,major,3,0.63,57,60.0,"[2, 4]",0,0,6.56,0.0033821871476888386,0.6651634723788049,1.35,2,"['Piano', 'Piano']",0,1,0,0,0,0,ravel_sonatine-1.krn,ravel_sonatine-1.mid,7hCMOTIdI3BXMydy5OOpPq
Rore,Sonno,None,12.4,d minor,minor,1,0.22,17,60.0,"[4, 2]",0,1,1.04,0.01694915254237288,0.0,3.46,4,"['Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,rore_sonno_edited.krn,rore_sonno_edited.mid,1Uk2JkKHMSuEJ2TJvXf0ev
"Scarlatti, Domenico","Sonata in D Major, K.478, L.12",None,3.75,D major,major,2,0.32,42,92.0,"[3, 4]",0,0,4.74,0.02211874272409779,0.37834691501746215,1.3,2,"['Harpsichord', 'Harpsichord']",0,1,0,0,0,0,scarlatti_L012K478.krn,scarlatti_L012K478.mid,4xy7uVx76mYZXyr69Tc2pv
"Schubert, Franz","String Quartet No. 10 in E-flat Major, Op. 125, No. 1",None,5.1,E- major,major,3,0.68,34,200.0,"[2, 2]",0,0,11.45,0.004531294250920419,0.5089209855564996,3.19,4,"['Violin', 'Violin', 'Viola', 'Violoncello']",1,0,0,0,0,0,schubert_quartet10-1.krn,schubert_quartet10-1.mid,2DKdAlabFbVLaEIGIZFMSz
"Schumann, Robert",The Happy Farmer Comes Home,None,0.67,F major,major,1,0.16,20,120.0,"[4, 4]",0,0,5.95,0.7073170731707317,0.7073170731707317,1.38,2,"['Piano', 'Piano']",0,1,0,0,0,0,schumann_op68no10.krn,schumann_op68no10.mid,0I781xLiri7BjMLI439ghW
"Scriabin, Alexander","Etude, Op. 8, No. 2",None,1.13,b minor,minor,2,0.56,50,92.0,"[4, 4]",0,0,10.66,0.010385756676557863,0.9792284866468842,1.83,2,"['Piano', 'Piano']",0,1,0,0,0,0,scriabin_etude8-02.krn,scriabin_etude8-02.mid,2G3lYsaQrzt9NgkxFtJ8cW
"Sinding, Christian",Fruhlingsrauschen,None,2.18,C# major,major,7,0.71,55,100.0,"[2, 4]",0,0,12.3,0.6159947124917383,0.9226701916721745,1.51,2,"['Piano', 'Piano']",0,1,0,0,0,0,sinding_spring.krn,sinding_spring.mid,0MdMhVTsvPUme8Dba3Ur2V
"Sousa, John Phillip",Hands Across the Sea,None,2.95,B- major,major,2,0.3,32,160.0,"[2, 2]",0,0,4.92,0.005405405405405406,0.34054054054054056,0.8,2,"['Piano', 'Piano']",0,1,0,0,0,0,sousa_hands-sea.krn,sousa_hands-sea.mid,0R8WlgDjFgK2JVHO15UkyP
"Susato, Tielman",Reihentänze Branlen,None,0.2,C major,major,0,0.0,9,160.0,"[4, 4]",0,0,9.08,0.03669724770642202,0.21100917431192662,4.0,4,"['Recorder', 'Recorder', 'Recorder', 'Recorder']",0,0,0,0,0,0,susato_reihentaenze-07.krn,susato_reihentaenze-07.mid,
"Vaqueiras, Raimbaut de",Neither May Day...,None,1.96,C major,major,0,0.08,19,144.0,"[6, 4]",1,0,2.2,0.16037735849056603,0.16037735849056603,0.96,2,"['Voice', None]",0,1,0,0,0,1,vaqueiras_kalenda_maya.krn,vaqueiras_kalenda_maya.mid,7nIAvGEJlQZh3EZrOeFUll
"Vecchi, Orazio",Veni in hortum,None,2.07,d minor,minor,1,0.17,21,120.0,"[4, 4]",0,0,8.01,0.1890303623898139,0.1890303623898139,5.02,7,"['Voice', 'Voice', 'Voice', 'Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,vecchi_coppini22.krn,vecchi_coppini22.mid,
"Victoria, Thomá Luis de",Gloria,None,4.98,a minor,minor,0,0.5,15,60.0,"[4, 4]",0,1,2.94,0.010559662090813094,0.010559662090813094,3.16,7,"['Voice', 'Voice', 'Voice', 'Voice', 'Voice', 'Voice', 'Voice']",0,0,0,0,0,1,victoria_missa-quarti-toni_gloria_edited.krn,victoria_missa-quarti-toni_gloria_edited.mid,
"Webern, Anton von",Piano Variations,None,0.28,D major,major,2,1.0,44,160.0,"[2, 4]",0,0,4.39,0.18181818181818182,0.9090909090909091,0.92,2,"['Piano', 'Piano']",0,1,0,0,0,0,webern_variations-2_edited.krn,webern_variations-2_edited.mid,4ebDiFV2pvk4n9pPvI7uii
